source,target
A1,A20
A2,A676
A2,A98
A2,A474
A3,A665
A3,A271
A3,A276
A4,A220
A5,A652
A5,A520
A6,A10
A7,A110
A8,A10
A9,A272
A9,A100
A10,A50
A10,A273
A10,A40
A10,A523
A10,A30
A10,A555
A10,A405
A10,A302
A10,A442
A10,A300
A10,A506
A10,A141
A10,A316
A10,A220
A10,A526
A10,A621
A10,A233
A10,A82
A10,A558
A11,A65
A12,A116
A12,A238
A13,C55
A13,A507
A13,A55
A13,A507
A14,A476
A15,A542
A15,A44
A15,A266
A16,A251
A16,A648
A16,A135
A17,A626
A17,A268
A18,A10
A19,A276
A20,A192
A20,A128
A20,A257
A21,A10
A22,A539
A22,A647
A23,A479
A23,A520
A24,A644
A24,A208
A25,A399
A25,A474
A26,C100
A27,A10
A28,A560
A28,A558
A28,A250
A28,A100
A28,A99
A29,A613
A29,A439
A29,A165
A30,A200
A30,A10
A31,A510
A32,A406
A32,A492
A33,A282
A34,A658
A35,A515
A35,A97
A35,A602
A35,A166
A36,A128
A37,A507
A38,A209
A38,A325
A38,A397
A39,A194
A39,A465
A40,A10
A41,A35
A41,A121
A41,A592
A41,A487
A42,A423
A42,A308
A43,A490
A44,A100
