source,target

C1, C709
C1, C505
C1, C714
C1, C313
C1, C151
C2, C368
C3, C172
C3, G300
C3, C136
C3, C302
C3, C192
C4, C491
C4, C24
C5, C281
C5, C117
C5, C153
C5, C370
C6, C123
C6, C26
C7, C78
C8, C28
C8, C46
C9, C152
C9, C182
C9, C122
C10, C29
C10, C308
C11, C178
C11, C196
C12, C31
C12, C125
C13, B210
C13, C504
C13, C402
C13, C200
C14, C78
C15, C52
C15, C52
C15, C72
C15, C72
C16, C44
C17, C282
C18, C37
C18, C123
C19, C630
C19, C81
C19, C4
C19, C227
C20, C372
C20, C335
C21, C236
C21, C109
C21, C39
C22, C170
C22, C79
C22, C468
C22, C40
C23, C83
C23, C41
C23, C574
C23, C105
C24, C169
C24, C42
C24, C303
C24, C263
C24, C119
C25, C317
C26, C44
C27, C84
C27, C5
C28, C65
C28, C46
C29, C47
C29, C67
C30, C11
C30, C48
C31, C125
C32, C504
C32, C205
C32, B175
C32, C77
C33, C58
C33, C170
C33, I84
C33, C370
C33, C40
C34, C52
C34, C111
C35, C53
C35, C130
C35, C166
C36, C99
C36, C100
C36, A100
C37, C44
C38, C317
C39, C58
C39, E95
C39, C129
C39, C170
C40, I84
C40, C59
C40, C551
C41, C337
C41, C60
C41, G400
C41, C136
C41, C98
C42, C61
C42, C193
C43, C62
C43, C582
C44, C86
C44, C54
C44, C71
C44, C314
C44, C74
C44, C258
C44, C128
C44, C134
C45, C5
C46, C85
C46, C141
C47, C67
C48, G100
C48, C227
C48, C630
C48, C153
C49, C340
C49, C7
C50, C630
C50, C301
C50, C9
C50, C205
C51, C536
C51, C707
C51, C499
C51, C554
C52, C72
C52, C91
C53, C92
C53, C73
C54, C44
C55, C283
C55, C699
C56, C75
C56, C94
C57, C133
C57, C171
C58, C299
C58, C336
C58, C78
C58, C348
C59, I84
C59, C399
C59, C79
C59, C96
C60, K77
C60, C23
C60, F102
C60, C98
C60, G500
C61, C553
C61, C19
C62, C82
C62, C102
C62, C5
C63, C368
C64, B2
C64, C177
C65, C85
C65, C41
C66, C213
C66, C155
C66, C429
C67, C308
C68, C617
C68, C635
C69, C177
C70, C39
C71, C320
C71, G375
C71, C44
C71, C110
C72, C44
C73, C44
C73, C16
C74, C113
C74, C44
C75, C352
C76, C171
C77, C268
C77, C322
C77, C437
C78, E200
C78, I100
C78, C21
C78, C96
C79, C186
C79, C168
C79, C352
C79, C56
C80, C321
C81, C354
C81, C101
C82, C323
C82, C305
C83, C41
C83, C103
C83, C581
C83, C60
C84, C104
C84, C433
C85, C41
C85, C195
C86, C167
C87, C235
C87, C197
C87, C217
C88, C144
C88, C162
C89, C190
C90, G450
C90, G350
C90, G550
C90, 175
C90, G275
C99, C44
C91, C44
C92, C314
C93, C131
C93, C149
C94, C352
C95, C115
C95, C171
C96, C33
C96, C116
C96, C68
C97, C78
C98, C183
C98, C118
C98, C647
C99, C297
C99, C317
C99, C334
C99, C347
C99, C495
C100, C122
C100, C406
C100, C564
C100, C175
C101, C205
C101, C119
C101, C77
C101, C42
C102, C27
C102, C582
C103, C123
C103, G222
C104, C5
C105, C338
C105, C159
C106, C24
C106, C124
C106, C212
C107, C143
C107, C125
C108, C123
C108, C158
C108, C180
C109, C127
C109, C123
C110, C224
C110, C242
C110, C260
C110, G475
C110, C712
C110, C44
C111, C256
C111, C44
C112, C314
C113, C74
C114, C473
C114, C233
C115, C171
C116, I84
C116, C40
C116, C58
C116, C370
C117, C496
C117, C135
C117, C465
C118, C413
C118, C278
C119, C213
C119, C137
C119, C533
C120, C97
C120, C350
C121, C713
C121, C522
C122, C200
C122, C244
C122, C504
C122, C129
C124, C142
C124, C160
C125, C266
C125, C4
C125, C227
C125, C302
C126, C198
C126, C123
C126, C177
C127, C145
C127, C199
C127, C219
C128, C146
C128, C503
C128, C259
C128, C333
C128, C44
C129, C381
C129, C475
C129, C273
C130, C148
C130, C73
C131, C353
C131, C439
C131, C149
C132, C150
C133, C76
C133, C95
C134, C71
C134, C90
C134, C44
C135, C79
C135, C153
C135, C468
C135, H200
C136, C139
C136, C154
C136, C292
C137, C4
C137, C66
C137, C246
C137, C81
C138, C251
C138, C228
C139, C154
C139, C157
C139, C581
C139, C98
C140, C158
C140, C123
C141, C195
C141, C85
C142, C123
C142, C152
C143, C179
C143, C161
C144, C177
C144, C198
C144, C218
C145, C163
C145, C181
C146, C256
C146, C274
C147, C44
C147, C165
C148, C44
C149, C300
C149, L333
C150, C278
C151, C411
C151, C540
C151, C467
C151, C524
C151, C449
C152, C100
C153, C239
C153, C171
C153, C57
C154, C23
C154, F202
C154, F309
C154, C98
C154, C337
C155, A29
C155, C246
C155, C55
C155, C77
C156, C461
C156, C479
C157, C123
C157, B229
C157, E321
C158, C100
C158, B48
C159, C177
C159, C41
C160, C123
C160, C30
C161, C125
C162, C144
C163, C199
C163, C219
C164, C504
C164, C402
C164, C42
C164, C81
C165, C44
C166, C184
C166, C73
C167, C185
C167, C44
C168, C352
C168, C212
C168, C135
C168, C123
C169, C318
C169, C390
C169, C335
C169, C349
C169, C298
C170, C237
