source,target

D1, D280
D2, D57
D2, D134
D2, D242
D2, D97
D3, D195
D4, D24
D5, D640
D5, D251
D5, D460
D5, D180
D6, D115
D6, D191
D6, D41
D8, D79
D8, D208
D9, D130
D9, D235
D10, D160
D10, D33
D10, D58
D10, D77
D10, D101
D10, D182
D10, D199
D10, D220
D10, D252
D10, D141
D10, D231
D10, D280
D11, D236
D11, D135
D11, D106
D11, D236
D13, D214
D13, D111
D13, D637
D13, D455
D13, D403
D13, D90
D14, D684
D14, D271
D15, D706
D15, D398
D15, D535
D15, D442
D16, D7
D16, D666
D17, D525
D17, D65
D17, D647
D19, D577
D19, D379
D20, A299
D20, D32
D21, D689
D21, D472
D21, D49
D22, D320
D22, D663
D23, D58
D24, D203
D24, D179
D24, D151
D25, D280
D26, D644
D26, D152
D27, D287
D27, D176
D27, D253
D28, D499
D29, D705
D29, D676
D29, D382
D30, D676
D31, D144
D32, D5
D32, D688
D32, A299
D32, A472
D32, A259
D33, D291
D33, D143
D33, D388
D33, D457
D33, D10
D34, D175
D34, D668
D35, D289
D35, D174
D35, D558
D36, D295
D37, D7
D37, D81
D38, D444
D39, D573
D39, D102
D40, D152
D40, D644
D40, D152
D41, D257
D41, D328
D42, D486
D42, D398
D43, D65
D44, D707
D44, D92
D44, D126
D45, D164
D45, D706
D46, D79
D46, D208
D47, D7
D48, D194
D49, D617
D49, D675
D50, D11
D50, D236
D50, D173
D50, D514
D51, D222
D52, D15
D52, D280
D52, D234
D52, D17
D53, D71
D53, D117
D53, D127
D53, D111
D53, D637
D53, D455
D53, D403
D53, D90
D54, D695
D54, D539
D55, D325
D56, D229
D56, D639
D56, D19
D56, D664
D57, D145
D57, D400
D58, D89
D58, D462
D58, D614
D58, D194
D58, D10
D59, D10
D60, D7
D60, D81
D61, D152
D62, D108
D62, D7
D63, D279
D63, D146
D63, D109
D64, D52
D65, D535
D65, D383
D65, D44
D65, D442
D66, D88
D67, D688
D68, D107
D68, D298
D68, D266
D70, D423
D70, D204
D71, D274
D72, D40
D72, D26
D72, D152
D73, D558
D73, D7
D74, D236
D75, D9
D75, D110
D76, D157
D77, D686
D77, D542
D77, D10
D78, D372
D79, D411
D80, D246
D81, D274
D82, D527
D82, D226
D83, D7
D83, D124
D84, D696
D84, D224
D85, D668
D86, D239
D86, D666
D87, D367
D87, D304
D87, D7
D88, D137
D88, D113
D89, D618
D89, D125
D89, D165
D89, D223
D89, D268
D89, D58
D90, D280
D90, D407
D91, D346
D91, D599
D91, D697
D92, D17
D92, D118
D92, D234
D92, D668
D93, D138
D93, D296
D94, D360
D94, D510
D95, D676
D95, D116
D96, D462
D97, D295
D97, D596
D98, D10
D99, D227
D99, D472
D100, B282
D100, D643
D101, D354
D101, D665
D102, D280
D102, D234
D102, D145
D103, D551
D103, D387
D104, D133
D104, D168
D105, D710
D105, D435
D105, D361
D106, D390
D107, D657
D107, D298
D107, D266
D108, D123
D109, D197
D109, D169
D110, D320
D111, D12
D111, D274
D112, D222
D113, D163
D114, D236
D115, D76
D115, D157
D116, D676
D117, D274
D117, D274
D117, D214
D118, D683
D118, D383
D118, D266
D118, D29
D118, D44
D119, D655
D119, D606
D119, D375
D120, D161
D120, D296
D120, D443
D121, D564
D122, D302
D122, D478
D122, D552
D123, D495
D123, D233
D124, D219
D124, D627
D125, D89
